date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement,hospitalization_need_num,icu_requirement_num
2022-01-23,69967616.0,776480.0,864137.0,3800.0,206827.414,2554.428,25528.0,144757.0,141813.0,1.122224673403252,0.4416873852920425,0.2068914281715701,0.0364854506404791,1.2350527992836,720412.5714285715,2329.714285714286,High,High,1,1
2022-01-24,70296180.0,328564.0,865355.0,1218.0,207798.664,2558.028,25562.0,144760.0,140617.0,0.4695943906392352,0.140949872531786,0.2059286863098393,0.0363632846052232,1.2310128373974234,700785.0,2306.5714285714284,High,High,1,1
2022-01-25,70611127.0,314947.0,866315.0,960.0,208729.661,2560.866,25311.0,143297.0,139159.0,0.4480286126500757,0.1109371298484437,0.202938270621286,0.0358456252935886,1.2268817066182784,685957.8571428572,2319.0,High,High,1,1
2022-01-26,71622275.0,1011148.0,869099.0,2784.0,211718.66,2569.096,25073.0,141674.0,136255.0,1.4319952717933535,0.3213611677045878,0.1978071766081153,0.0350072655469265,1.2134479112817904,692055.4285714285,2509.1428571428573,High,High,1,1
2022-01-27,72115507.0,493232.0,872629.0,3530.0,213176.676,2579.53,24470.0,137503.0,132858.0,0.6886572647964617,0.4061677668481956,0.1906705030861115,0.0339316757490174,1.2100434931421893,640189.5714285715,2636.0,High,High,1,1
2022-01-28,72660732.0,545225.0,876038.0,3409.0,214788.385,2589.608,24021.0,133318.0,129613.0,0.756044050276177,0.3906585731164103,0.183480122385775,0.0330591219477392,1.2056553462742434,606583.7142857143,2657.4285714285716,High,High,1,1
2022-01-29,73233552.0,572820.0,878936.0,2898.0,216481.667,2598.174,23432.0,127041.0,126717.0,0.7883487878982557,0.3308075677082501,0.1734737651397818,0.0319962631335975,1.2001821241717183,577488.0,2657.0,High,Medium,1,0
2022-01-30,73756878.0,523326.0,882540.0,3604.0,218028.642,2608.828,23196.0,125816.0,123493.0,0.7145986855860822,0.4100412316710204,0.1705820574455442,0.0314492703988908,1.1965528150472964,541323.1428571428,2629.0,High,Medium,1,0
2022-01-31,73979050.0,222172.0,884056.0,1516.0,218685.393,2613.309,22909.0,124054.0,119864.0,0.3012220772142769,0.1717769166270084,0.1676880143770432,0.0309668750815264,1.1950085868904776,526124.2857142857,2671.5714285714284,High,Medium,1,0
2022-02-01,74137264.0,158214.0,884981.0,925.0,219153.08,2616.044,22670.0,120533.0,115631.0,0.2138632491225556,0.1046313808175047,0.1625808581228463,0.0305784146552805,1.19370604234869,503733.8571428571,2666.5714285714284,High,Medium,1,0
